iter	Passed	Remaining
0	8	5370
1	15	5085
2	22	4872
3	29	4865
4	54	7163
5	78	8632
6	90	8447
7	97	7998
8	104	7595
9	111	7279
10	118	7040
11	129	7015
12	141	7047
13	148	6865
14	154	6667
15	160	6481
16	166	6323
17	172	6177
18	178	6051
19	184	5936
20	192	5864
21	198	5780
22	205	5709
23	212	5650
24	219	5595
25	227	5569
26	236	5551
27	245	5553
28	253	5534
29	260	5492
30	267	5453
31	275	5420
32	283	5408
33	291	5386
34	298	5355
35	306	5322
36	313	5290
37	319	5254
38	326	5219
39	333	5188
40	340	5153
41	346	5121
42	353	5095
43	360	5068
44	367	5040
45	374	5010
46	380	4979
47	387	4953
48	395	4944
49	402	4925
50	408	4899
51	415	4870
52	422	4850
53	429	4834
54	441	4870
55	461	4992
56	485	5149
57	491	5119
58	500	5110
59	506	5081
60	513	5056
61	520	5041
62	532	5066
63	541	5064
64	548	5033
65	554	5005
66	560	4978
67	566	4950
68	573	4925
69	579	4904
70	586	4879
71	592	4859
72	599	4838
73	606	4819
74	612	4797
75	619	4780
76	626	4760
77	634	4748
78	640	4729
79	646	4706
80	652	4682
81	659	4661
82	664	4638
83	670	4616
84	676	4593
85	683	4577
86	690	4560
87	697	4547
88	703	4527
89	709	4508
90	715	4487
91	720	4466
92	726	4447
93	732	4428
94	739	4414
95	745	4397
96	752	4384
97	759	4369
98	765	4353
99	772	4341
100	778	4323
101	785	4314
102	793	4304
103	799	4291
104	806	4276
105	812	4262
106	818	4246
107	825	4234
108	835	4240
109	884	4437
110	891	4423
111	899	4415
112	906	4401
113	912	4388
114	919	4374
115	929	4375
116	940	4380
117	947	4367
118	953	4351
119	959	4334
120	966	4320
121	972	4305
122	979	4292
123	986	4281
124	993	4267
125	999	4251
126	1005	4234
127	1011	4220
128	1017	4204
129	1023	4189
130	1030	4178
131	1037	4165
132	1044	4155
133	1051	4141
134	1057	4127
135	1063	4112
136	1069	4097
137	1075	4082
138	1081	4070
139	1087	4056
140	1094	4043
141	1100	4030
142	1106	4015
143	1112	4002
144	1118	3988
145	1125	3976
146	1131	3963
147	1137	3950
148	1143	3935
149	1149	3923
150	1155	3909
151	1161	3896
152	1167	3883
153	1173	3870
154	1180	3860
155	1186	3850
156	1195	3844
157	1201	3832
158	1207	3820
159	1213	3808
160	1222	3803
161	1229	3796
162	1237	3787
163	1244	3778
164	1283	3867
165	1307	3907
166	1314	3895
167	1320	3882
168	1326	3870
169	1333	3858
170	1344	3859
171	1358	3869
172	1365	3859
173	1373	3850
174	1379	3840
175	1387	3830
176	1394	3821
177	1402	3813
178	1409	3802
179	1415	3791
180	1423	3781
181	1430	3772
182	1437	3762
183	1444	3753
